,Unnamed: 0,EntityCommonStockSharesOutstanding-0,MarketCap,dividend,splits
235,2007-05-17,24208660000.0,94621266542.69696,0.0,0.0
236,2007-05-18,24208660000.0,95122748892.11656,0.0,0.0
237,,,,,
238,,,,,
239,2007-05-21,24208660000.0,96817353476.01411,0.0,0.0
240,2007-05-22,24208660000.0,98166112144.30807,0.0,0.0
241,2007-05-23,24208660000.0,97604135618.62946,0.0,0.0
242,2007-05-24,24208660000.0,95702011941.78104,0.0,0.0
243,2007-05-25,24208660000.0,98235281327.42882,0.0,0.0
244,,,,,
245,,,,,
246,,,,,
247,2007-05-29,24208660000.0,98866450123.40546,0.0,0.0
248,2007-05-30,24208660000.0,102687955142.11656,0.0,0.0
249,2007-05-31,24208660000.0,104780265213.57536,0.0,0.0
250,2007-06-01,24208660000.0,102368036126.59454,0.0,0.0
251,,,,,
252,,,,,
253,2007-06-04,24208660000.0,104901299740.448,0.0,0.0
254,2007-06-05,24208660000.0,106059860470.54292,0.0,0.0
255,2007-06-06,24208660000.0,106898513728.70444,0.0,0.0
256,2007-06-07,24208660000.0,107270286544.38972,0.0,0.0
257,2007-06-08,24208660000.0,107633424755.77354,0.0,0.0
258,,,,,
259,,,,,
260,2007-06-11,24208660000.0,103915673511.74356,0.0,0.0
261,2007-06-12,24208660000.0,104079950321.65527,0.0,0.0
262,2007-06-13,24208660000.0,101589917447.25227,0.0,0.0
263,2007-06-14,24208660000.0,102670651302.74773,0.0,0.0
264,2007-06-15,24208660000.0,104183692552.74773,0.0,0.0
265,,,,,
266,,,,,
267,2007-06-18,24208660000.0,108152193629.179,0.0,0.0
268,2007-06-19,24208660000.0,106915829111.66193,0.0,0.0
269,2007-06-20,24208660000.0,105091514994.03,0.0,0.0
270,2007-06-21,24208660000.0,107123325117.43546,0.0,0.0
271,2007-06-22,24208660000.0,106345183350.91592,0.0,0.0
272,,,,,
273,,,,,
274,2007-06-25,24208660000.0,105774560677.34718,0.0,0.0
275,2007-06-26,24208660000.0,103448781525.67863,0.0,0.0
276,2007-06-27,24208660000.0,105385472478.70444,0.0,0.0
277,2007-06-28,24208660000.0,104235569440.08829,0.0,0.0
278,2007-06-29,24208660000.0,105515164697.05582,0.0,0.0
279,,,,,
280,,,,,
281,2007-07-02,24208660000.0,104840788248.806,0.0,0.0
282,2007-07-03,24208660000.0,109950557759.552,0.0,0.0
283,,,,,
284,2007-07-05,24208660000.0,114774981302.74773,0.0,0.0
285,2007-07-06,24208660000.0,114385916191.28229,0.0,0.0
286,,,,,
287,,,,,
288,2007-07-09,24208660000.0,112682671231.28893,0.0,0.0
289,2007-07-10,24208660000.0,114429158474.32137,0.0,0.0
290,2007-07-11,24208660000.0,114463719978.70444,0.0,0.0
291,2007-07-12,24208660000.0,115916249737.06244,0.0,0.0
292,2007-07-13,24208660000.0,119080682146.89256,0.0,0.0
293,,,,,
294,,,,,
295,2007-07-16,24208660000.0,119400578075.23727,0.0,0.0
296,2007-07-17,24208660000.0,120100881423.56873,0.0,0.0
297,2007-07-18,24208660000.0,119417858827.42882,0.0,0.0
298,2007-07-19,24208660000.0,121043300000.0,0.0,0.0
299,2007-07-20,24208660000.0,124285536197.25227,0.0,0.0
300,,,,,
301,,,,,
302,2007-07-23,24208660000.0,124242305457.80182,0.0,0.0
303,2007-07-24,24208660000.0,116625222320.46127,0.0,0.0
304,2007-07-25,24208660000.0,118674313196.05827,0.0,0.0
305,2007-07-26,24208660000.0,126230873298.16818,0.0,0.0
306,2007-07-27,24208660000.0,124371986132.56454,0.0,0.0
307,,,,,
308,,,,,
309,2007-07-30,24208660000.0,122279664517.51707,0.0,0.0
310,2007-07-31,24208660000.0,113919035748.806,0.0,0.0
311,2007-08-01,24208660000.0,116720329947.25227,0.0,0.0
312,2007-08-02,24208660000.0,118008571352.10992,0.0,0.0
313,2007-08-03,24208660000.0,113996862623.40546,0.0,0.0
314,,,,,
315,,,,,
316,2007-08-06,24208660000.0,116936472100.91592,0.0,0.0
317,2007-08-07,24208660000.0,116746268390.92256,0.0,0.0
318,2007-08-08,24208660000.0,115864361306.13329,0.0,0.0
319,2007-08-09,24208660000.0,109276169767.71356,0.0,0.0
320,2007-08-10,24208660000.0,108074378298.16818,0.0,0.0
321,,,,,
322,,,,,
323,2007-08-13,24208660000.0,110486607385.149,0.0,0.0
324,2007-08-14,24208660000.0,107235725040.00664,0.0,0.0
325,2007-08-15,24208660000.0,103664946766.51956,0.0,0.0
326,2007-08-16,24208660000.0,101200840792.19818,0.0,0.0
327,2007-08-17,24208660000.0,105532468536.42464,0.0,0.0
328,,,,,
329,,,,,
330,2007-08-20,24208660000.0,105670795359.07744,0.0,0.0
331,2007-08-21,24208660000.0,110296369044.38972,0.0,0.0
332,2007-08-22,24208660000.0,114567485296.97418,0.0,0.0
333,2007-08-23,24208660000.0,113322451544.38972,0.0,0.0
334,2007-08-24,24208660000.0,116979702840.36636,0.0,0.0
335,,,,,
336,,,,,
337,2007-08-27,24208660000.0,114342685451.83182,0.0,0.0
338,2007-08-28,24208660000.0,109647942583.39882,0.0,0.0
339,2007-08-29,24208660000.0,115924884341.3639,0.0,0.0
340,2007-08-30,24208660000.0,117801063802.74773,0.0,0.0
341,2007-08-31,24208660000.0,119729108607.88344,0.0,0.0
342,,,,,
343,,,,,
344,,,,,
345,2007-09-04,24208660000.0,124640005173.56873,0.0,0.0
346,2007-09-05,24208660000.0,118242017345.14236,0.0,0.0
347,2007-09-06,24208660000.0,116728976095.14236,0.0,0.0
348,2007-09-07,24208660000.0,113927670353.10744,0.0,0.0
349,,,,,
350,,,,,
351,2007-09-10,24208660000.0,118198786605.69193,0.0,0.0
352,2007-09-11,24208660000.0,117143991193.86671,0.0,0.0
353,2007-09-12,24208660000.0,118319821132.56454,0.0,0.0
354,2007-09-13,24208660000.0,118622436308.71771,0.0,0.0
355,2007-09-14,24208660000.0,120014431488.25644,0.0,0.0
356,,,,,
357,,,,,
358,2007-09-17,24208660000.0,119668585572.65282,0.0,0.0
359,2007-09-18,24208660000.0,121838722518.71107,0.0,0.0
360,2007-09-19,24208660000.0,121709041843.94836,0.0,0.0
