,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,CostsAndExpenses-4,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,DepreciationAndAmortization-4,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,GrossProfit-4,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,IncomeTaxesPaidNet-4,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,NetIncomeLoss-4,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,OperatingIncomeLoss-4,Revenues-0,Revenues-1,Revenues-2,Revenues-3,Revenues-4,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,FreeCashFlow-4
2015-06-30,35522000000.0,39732000000.0,50353000000.0,30958000000.0,27150000000.0,2306336088.1542697,2306336088.1542697,2306336088.1542697,1729752066.1157024,1729752066.1157024,19681000000.0,23656000000.0,29741000000.0,16009000000.0,14735000000.0,3546000000.0,3189000000.0,3869000000.0,2013000000.0,2644000000.0,10677000000.0,13569000000.0,18024000000.0,8467000000.0,7748000000.0,14083000000.0,18278000000.0,24246000000.0,11165000000.0,10282000000.0,49605000000.0,58010000000.0,74599000000.0,42123000000.0,37432000000.0,12945000000.0,16712000000.0,30505000000.0,9424000000.0,7877000000.0
2015-09-30,36878000000.0,35522000000.0,39732000000.0,50353000000.0,30958000000.0,2306336088.1542697,2306336088.1542697,2306336088.1542697,2306336088.1542697,1729752066.1157024,20548000000.0,19681000000.0,23656000000.0,29741000000.0,16009000000.0,2648000000.0,3546000000.0,3189000000.0,3869000000.0,2013000000.0,11124000000.0,10677000000.0,13569000000.0,18024000000.0,8467000000.0,14623000000.0,14083000000.0,18278000000.0,24246000000.0,11165000000.0,51501000000.0,49605000000.0,58010000000.0,74599000000.0,42123000000.0,9857000000.0,12945000000.0,16712000000.0,30505000000.0,9424000000.0
2015-12-31,51701000000.0,36878000000.0,35522000000.0,39732000000.0,50353000000.0,2080716253.443526,2306336088.1542697,2306336088.1542697,2306336088.1542697,2306336088.1542697,30423000000.0,20548000000.0,19681000000.0,23656000000.0,29741000000.0,3398000000.0,2648000000.0,3546000000.0,3189000000.0,3869000000.0,18361000000.0,11124000000.0,10677000000.0,13569000000.0,18024000000.0,24171000000.0,14623000000.0,14083000000.0,18278000000.0,24246000000.0,75872000000.0,51501000000.0,49605000000.0,58010000000.0,74599000000.0,23851000000.0,9857000000.0,12945000000.0,16712000000.0,30505000000.0
2016-03-31,36570000000.0,51701000000.0,36878000000.0,35522000000.0,39732000000.0,2080716253.443526,2080716253.443526,2306336088.1542697,2306336088.1542697,2306336088.1542697,19921000000.0,30423000000.0,20548000000.0,19681000000.0,23656000000.0,3232000000.0,3398000000.0,2648000000.0,3546000000.0,3189000000.0,10516000000.0,18361000000.0,11124000000.0,10677000000.0,13569000000.0,13987000000.0,24171000000.0,14623000000.0,14083000000.0,18278000000.0,50557000000.0,75872000000.0,51501000000.0,49605000000.0,58010000000.0,9265000000.0,23851000000.0,9857000000.0,12945000000.0,16712000000.0
2016-06-30,32253000000.0,36570000000.0,51701000000.0,36878000000.0,35522000000.0,2080716253.443526,2080716253.443526,2080716253.443526,2306336088.1542697,2306336088.1542697,16106000000.0,19921000000.0,30423000000.0,20548000000.0,19681000000.0,2360000000.0,3232000000.0,3398000000.0,2648000000.0,3546000000.0,7796000000.0,10516000000.0,18361000000.0,11124000000.0,10677000000.0,10105000000.0,13987000000.0,24171000000.0,14623000000.0,14083000000.0,42358000000.0,50557000000.0,75872000000.0,51501000000.0,49605000000.0,7825000000.0,17303911602.209946,16027911602.209946,16754468319.559229,18329468319.559227
2016-09-30,35091000000.0,32253000000.0,36570000000.0,51701000000.0,36878000000.0,2080716253.443526,2080716253.443526,2080716253.443526,2080716253.443526,2306336088.1542697,17813000000.0,16106000000.0,19921000000.0,30423000000.0,20548000000.0,1454000000.0,2360000000.0,3232000000.0,3398000000.0,2648000000.0,9014000000.0,7796000000.0,10516000000.0,18361000000.0,11124000000.0,11761000000.0,10105000000.0,13987000000.0,24171000000.0,14623000000.0,46852000000.0,42358000000.0,50557000000.0,75872000000.0,51501000000.0,12149000000.0,7825000000.0,17303911602.209946,16027911602.209946,16754468319.559229
2016-12-31,54992000000.0,35091000000.0,32253000000.0,36570000000.0,51701000000.0,2016756756.7567568,2080716253.443526,2080716253.443526,2080716253.443526,2080716253.443526,30176000000.0,17813000000.0,16106000000.0,19921000000.0,30423000000.0,3510000000.0,1454000000.0,2360000000.0,3232000000.0,3398000000.0,17891000000.0,9014000000.0,7796000000.0,10516000000.0,18361000000.0,23359000000.0,11761000000.0,10105000000.0,13987000000.0,24171000000.0,78351000000.0,46852000000.0,42358000000.0,50557000000.0,75872000000.0,23900000000.0,12149000000.0,7825000000.0,17303911602.209946,16027911602.209946
2017-03-31,38799000000.0,54992000000.0,35091000000.0,32253000000.0,36570000000.0,2016756756.7567568,2016756756.7567568,2080716253.443526,2080716253.443526,2080716253.443526,20591000000.0,30176000000.0,17813000000.0,16106000000.0,19921000000.0,3368000000.0,3510000000.0,1454000000.0,2360000000.0,3232000000.0,11029000000.0,17891000000.0,9014000000.0,7796000000.0,10516000000.0,14097000000.0,23359000000.0,11761000000.0,10105000000.0,13987000000.0,52896000000.0,78351000000.0,46852000000.0,42358000000.0,50557000000.0,9370000000.0,23900000000.0,12149000000.0,7825000000.0,17303911602.209946
2017-06-30,34640000000.0,38799000000.0,54992000000.0,35091000000.0,32253000000.0,2016756756.7567568,2016756756.7567568,2016756756.7567568,2080716253.443526,2080716253.443526,17488000000.0,20591000000.0,30176000000.0,17813000000.0,16106000000.0,2874000000.0,3368000000.0,3510000000.0,1454000000.0,2360000000.0,8717000000.0,11029000000.0,17891000000.0,9014000000.0,7796000000.0,10768000000.0,14097000000.0,23359000000.0,11761000000.0,10105000000.0,45408000000.0,52896000000.0,78351000000.0,46852000000.0,42358000000.0,6086000000.0,9370000000.0,23900000000.0,12149000000.0,7825000000.0
2017-09-30,39459000000.0,34640000000.0,38799000000.0,54992000000.0,35091000000.0,2016756756.7567568,2016756756.7567568,2016756756.7567568,2016756756.7567568,2080716253.443526,19931000000.0,17488000000.0,20591000000.0,30176000000.0,17813000000.0,1839000000.0,2874000000.0,3368000000.0,3510000000.0,1454000000.0,10714000000.0,8717000000.0,11029000000.0,17891000000.0,9014000000.0,13120000000.0,10768000000.0,14097000000.0,23359000000.0,11761000000.0,52579000000.0,45408000000.0,52896000000.0,78351000000.0,46852000000.0,11791000000.0,6086000000.0,9370000000.0,23900000000.0,12149000000.0
2017-12-31,62019000000.0,39459000000.0,34640000000.0,38799000000.0,54992000000.0,2745000000.0,2016756756.7567568,2016756756.7567568,2016756756.7567568,2016756756.7567568,33912000000.0,19931000000.0,17488000000.0,20591000000.0,30176000000.0,3551000000.0,1839000000.0,2874000000.0,3368000000.0,3510000000.0,20065000000.0,10714000000.0,8717000000.0,11029000000.0,17891000000.0,26274000000.0,13120000000.0,10768000000.0,14097000000.0,23359000000.0,88293000000.0,52579000000.0,45408000000.0,52896000000.0,78351000000.0,25483000000.0,11791000000.0,6086000000.0,9370000000.0,23900000000.0
2018-03-31,45243000000.0,62019000000.0,39459000000.0,34640000000.0,38799000000.0,2739000000.0,2745000000.0,2016756756.7567568,2016756756.7567568,2016756756.7567568,23422000000.0,33912000000.0,19931000000.0,17488000000.0,20591000000.0,2789000000.0,3551000000.0,1839000000.0,2874000000.0,3368000000.0,13822000000.0,20065000000.0,10714000000.0,8717000000.0,11029000000.0,15894000000.0,26274000000.0,13120000000.0,10768000000.0,14097000000.0,61137000000.0,88293000000.0,52579000000.0,45408000000.0,52896000000.0,10935000000.0,25483000000.0,11791000000.0,6086000000.0,9370000000.0
2018-06-30,40653000000.0,45243000000.0,62019000000.0,39459000000.0,34640000000.0,2665000000.0,2739000000.0,2745000000.0,2016756756.7567568,2016756756.7567568,20421000000.0,23422000000.0,33912000000.0,19931000000.0,17488000000.0,2479000000.0,2789000000.0,3551000000.0,1839000000.0,2874000000.0,11519000000.0,13822000000.0,20065000000.0,10714000000.0,8717000000.0,12612000000.0,15894000000.0,26274000000.0,13120000000.0,10768000000.0,53265000000.0,61137000000.0,88293000000.0,52579000000.0,45408000000.0,11221000000.0,10935000000.0,25483000000.0,11791000000.0,6086000000.0
2018-09-30,46782000000.0,40653000000.0,45243000000.0,62019000000.0,39459000000.0,2754000000.0,2665000000.0,2739000000.0,2745000000.0,2016756756.7567568,24084000000.0,20421000000.0,23422000000.0,33912000000.0,19931000000.0,1598000000.0,2479000000.0,2789000000.0,3551000000.0,1839000000.0,14125000000.0,11519000000.0,13822000000.0,20065000000.0,10714000000.0,16118000000.0,12612000000.0,15894000000.0,26274000000.0,13120000000.0,62900000000.0,53265000000.0,61137000000.0,88293000000.0,52579000000.0,16482000000.0,11221000000.0,10935000000.0,25483000000.0,11791000000.0
2018-12-31,60964000000.0,46782000000.0,40653000000.0,45243000000.0,62019000000.0,3395000000.0,2754000000.0,2665000000.0,2739000000.0,2745000000.0,32031000000.0,24084000000.0,20421000000.0,23422000000.0,33912000000.0,4916000000.0,1598000000.0,2479000000.0,2789000000.0,3551000000.0,19965000000.0,14125000000.0,11519000000.0,13822000000.0,20065000000.0,23346000000.0,16118000000.0,12612000000.0,15894000000.0,26274000000.0,84310000000.0,62900000000.0,53265000000.0,61137000000.0,88293000000.0,23335000000.0,16482000000.0,11221000000.0,10935000000.0,25483000000.0
2019-03-31,44600000000.0,60964000000.0,46782000000.0,40653000000.0,45243000000.0,3040000000.0,3395000000.0,2754000000.0,2665000000.0,2739000000.0,21821000000.0,32031000000.0,24084000000.0,20421000000.0,23422000000.0,4581000000.0,4916000000.0,1598000000.0,2479000000.0,2789000000.0,11561000000.0,19965000000.0,14125000000.0,11519000000.0,13822000000.0,13415000000.0,23346000000.0,16118000000.0,12612000000.0,15894000000.0,58015000000.0,84310000000.0,62900000000.0,53265000000.0,61137000000.0,8792000000.0,23335000000.0,16482000000.0,11221000000.0,10935000000.0
