,CostsAndExpenses-0,CostsAndExpenses-1,CostsAndExpenses-2,CostsAndExpenses-3,DepreciationAndAmortization-0,DepreciationAndAmortization-1,DepreciationAndAmortization-2,DepreciationAndAmortization-3,EarningsPerShareDiluted-0,EarningsPerShareDiluted-1,EarningsPerShareDiluted-2,EarningsPerShareDiluted-3,GrossProfit-0,GrossProfit-1,GrossProfit-2,GrossProfit-3,IncomeTaxesPaidNet-0,IncomeTaxesPaidNet-1,IncomeTaxesPaidNet-2,IncomeTaxesPaidNet-3,NetIncomeLoss-0,NetIncomeLoss-1,NetIncomeLoss-2,NetIncomeLoss-3,OperatingIncomeLoss-0,OperatingIncomeLoss-1,OperatingIncomeLoss-2,OperatingIncomeLoss-3,Revenues-0,Revenues-1,Revenues-2,Revenues-3,FreeCashFlow-0,FreeCashFlow-1,FreeCashFlow-2,FreeCashFlow-3,EntityCommonStockSharesOutstanding-0,MarketCap,splits,close,static_quantile,dynamic_quantile,category
2010-12-31,12474000000.0,7292000000.0,6296000000.0,6737000000.0,138000000.0,138000000.0,138000000.0,138000000.0,0.91,0.51,0.45,0.66,2631000000.0,1774000000.0,1609000000.0,1630000000.0,13000000.0,16000000.0,43000000.0,4000000.0,416000000.0,231000000.0,207000000.0,299000000.0,474000000.0,268000000.0,270000000.0,394000000.0,12948000000.0,7560000000.0,6566000000.0,7131000000.0,3160000000.0,540000000.0,54000000.0,-1238000000.0,8976735140.0,80790616260.0,0.0,9.0,9.12950038909912,8.865800094604491,6
2011-03-31,12863000000.0,12474000000.0,7292000000.0,6296000000.0,202000000.0,170000000.0,150000000.0,129000000.0,0.44,0.91,0.51,0.45,5577000000.0,2631000000.0,1774000000.0,1609000000.0,7000000.0,13000000.0,16000000.0,43000000.0,201000000.0,416000000.0,231000000.0,207000000.0,322000000.0,474000000.0,268000000.0,270000000.0,13185000000.0,12948000000.0,7560000000.0,6566000000.0,-1884000000.0,3160000000.0,540000000.0,54000000.0,9020075180.0,81239309310.83679,0.0,9.006500244140625,8.583499908447266,9.313400077819823,6
2011-06-30,12633000000.0,12863000000.0,12474000000.0,7292000000.0,244000000.0,202000000.0,170000000.0,150000000.0,0.41,0.44,0.91,0.51,5309000000.0,5577000000.0,2631000000.0,1774000000.0,-1000000.0,7000000.0,13000000.0,16000000.0,191000000.0,201000000.0,416000000.0,231000000.0,201000000.0,322000000.0,474000000.0,268000000.0,12834000000.0,13185000000.0,12948000000.0,7560000000.0,-10000000.0,-1884000000.0,3160000000.0,540000000.0,9040861460.0,92438285307.69434,0.0,10.224499702453612,9.68759994506836,9.888500022888184,6
2011-09-30,13727000000.0,12633000000.0,12863000000.0,12474000000.0,278000000.0,244000000.0,202000000.0,170000000.0,0.14,0.41,0.44,0.91,5481000000.0,5309000000.0,5577000000.0,2631000000.0,12000000.0,-1000000.0,7000000.0,13000000.0,63000000.0,191000000.0,201000000.0,416000000.0,79000000.0,201000000.0,322000000.0,474000000.0,13806000000.0,12834000000.0,13185000000.0,12948000000.0,268000000.0,-10000000.0,-1884000000.0,3160000000.0,9078706500.0,98154431653.70322,0.0,10.81149959564209,11.512700271606445,11.12600040435791,6
2011-12-31,21008000000.0,13727000000.0,12633000000.0,12863000000.0,359000000.0,278000000.0,244000000.0,202000000.0,0.38,0.14,0.41,0.44,7437000000.0,5481000000.0,5309000000.0,5577000000.0,15000000.0,12000000.0,-1000000.0,7000000.0,177000000.0,63000000.0,191000000.0,201000000.0,260000000.0,79000000.0,201000000.0,322000000.0,21268000000.0,13806000000.0,12834000000.0,13185000000.0,3719000000.0,268000000.0,-10000000.0,-1884000000.0,9095086900.0,78717974690.84978,0.0,8.654999732971191,9.65149974822998,11.237000465393066,6
2012-03-31,12993000000.0,21008000000.0,13727000000.0,12633000000.0,457000000.0,359000000.0,278000000.0,244000000.0,0.28,0.38,0.14,0.41,3158000000.0,7437000000.0,5481000000.0,5309000000.0,19000000.0,15000000.0,12000000.0,-1000000.0,130000000.0,177000000.0,63000000.0,191000000.0,192000000.0,260000000.0,79000000.0,201000000.0,13185000000.0,21268000000.0,13806000000.0,12834000000.0,-2824000000.0,3719000000.0,268000000.0,-10000000.0,9101369300.0,92155912347.38426,0.0,10.125499725341797,9.81319980621338,9.590700149536133,6
2012-06-30,12727000000.0,12993000000.0,21008000000.0,13727000000.0,485000000.0,457000000.0,359000000.0,278000000.0,0.01,0.28,0.38,0.14,3346000000.0,3158000000.0,7437000000.0,5481000000.0,20000000.0,19000000.0,15000000.0,12000000.0,7000000.0,130000000.0,177000000.0,63000000.0,107000000.0,192000000.0,260000000.0,79000000.0,12834000000.0,13185000000.0,21268000000.0,13806000000.0,-63000000.0,-2824000000.0,3719000000.0,268000000.0,9010510020.0,102877494028.66583,0.0,11.417499542236328,11.136600303649905,11.201799964904785,6
2012-09-30,13834000000.0,12727000000.0,12993000000.0,21008000000.0,554000000.0,485000000.0,457000000.0,359000000.0,-0.6,0.01,0.28,0.38,3487000000.0,3346000000.0,3158000000.0,7437000000.0,21000000.0,20000000.0,19000000.0,15000000.0,-274000000.0,7000000.0,130000000.0,177000000.0,-28000000.0,107000000.0,192000000.0,260000000.0,13806000000.0,12834000000.0,13185000000.0,21268000000.0,227000000.0,-63000000.0,-2824000000.0,3719000000.0,9041305120.0,114969232318.97644,0.0,12.715999603271484,12.967999839782715,12.74829978942871,6
2012-12-30,17026000000.0,13834000000.0,12727000000.0,12993000000.0,412117808.2191781,412117808.2191781,412117808.2191781,412117808.2191781,0.38,-0.6,0.01,0.28,1294000000.0,3487000000.0,3346000000.0,3158000000.0,52000000.0,21000000.0,20000000.0,19000000.0,177000000.0,-274000000.0,7000000.0,130000000.0,405000000.0,-28000000.0,107000000.0,192000000.0,17431000000.0,13806000000.0,12834000000.0,13185000000.0,3055000000.0,227000000.0,-63000000.0,-2824000000.0,9059170660.0,111056371531.2723,0.0,12.258999824523926,12.845999717712402,12.66349983215332,6
2013-03-31,15889000000.0,17026000000.0,13834000000.0,12727000000.0,700000000.0,662000000.0,554000000.0,485000000.0,0.18,0.38,-0.6,0.01,4269000000.0,1294000000.0,3487000000.0,3346000000.0,86000000.0,52000000.0,21000000.0,20000000.0,82000000.0,177000000.0,-274000000.0,7000000.0,181000000.0,405000000.0,-28000000.0,107000000.0,16070000000.0,17431000000.0,13806000000.0,12834000000.0,-3042000000.0,3055000000.0,227000000.0,-63000000.0,9091021380.0,121133315140.75888,0.0,13.32450008392334,13.696500205993653,13.605999946594238,6
